typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,sector
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580620,"Fabrics; narrow (excluding pile fabrics), containing by weight 5% or more of elastomeric yarn or rubber thread",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10718645.0,True,-1,N/A,,False,10718645.0,True,,False,,17514877.0,17514877.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580631,"Fabrics; narrow woven fabrics, n.e.c. in heading no. 5806, of cotton (excluding goods of heading no. 5807)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,129704.0,True,-1,N/A,,False,129704.0,True,,False,,811350.0,811350.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580632,"Fabrics, narrow woven fabrics, n.e.c. in heading no. 5806, of man-made fibres (excluding goods of heading no. 5807)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3048828.0,True,-1,N/A,,False,3048828.0,True,,False,,9748269.0,9748269.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580639,"Fabrics; narrow woven fabrics, n.e.c. in heading no. 5806, of textile materials n.e.c. in item no. 5806.3 (excluding goods of heading no. 5807)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,543893.0,True,-1,N/A,,False,543893.0,True,,False,,2168511.0,2168511.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580710,"Labels, badges and similar articles; woven, of textile materials, in the piece, in strips or cut to shape or size, not embroidered",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,217305.0,True,-1,N/A,,False,217305.0,True,,False,,6475885.0,6475885.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580790,"Labels, badges and similar articles; (other than woven), of textile materials, in the piece, in strips or cut to shape or size, not embroidered",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57102.0,True,-1,N/A,,False,57102.0,True,,False,,1833024.0,1833024.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580810,Braids; in the piece,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,678355.0,True,-1,N/A,,False,678355.0,True,,False,,6360710.0,6360710.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580890,"Ornamental trimmings; tassels, pompons and similar articles; ornamental trimmings in the piece, without embroidery, other than knitted or crocheted",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,623474.0,True,-1,N/A,,False,623474.0,True,,False,,6898952.0,6898952.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580900,"Fabrics, woven; of metal thread and metallised yarn of heading no. 5605, of a kind used in apparel, as furnishing fabrics or similar purposes; n.e.c. or included",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,87643.0,True,-1,N/A,,False,87643.0,True,,False,,1210897.0,1210897.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,581010,"Embroidery; without visible ground, in the piece, in strips or in motifs",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1877744.0,True,-1,N/A,,False,1877744.0,True,,False,,58292522.0,58292522.0,6,True,False,textiles
