ref_year,sector_value_bn,phone_value_bn,phone_share_pct,usd_per_kg_all,usd_per_kg_ex_phones,unit_value_change_all_pct,unit_value_change_ex_phones_pct
2014,22.60,0.56,2.5,11.730,11.431,0.0,0.0
2023,61.62,14.29,23.2,16.988,12.718,44.8,11.3
