sector,partner_rank,partner_desc,product_rank,cmd_code,cmd_desc,value_2023_mn,pct_of_partner_sector
pharmaceuticals,1,USA,5,300390,"Medicaments; (not containing antibiotics, hormones, alkaloids or their derivatives), for therapeutic or prophylactic uses, (not packaged for retail sale)",70.1,0.9
pharmaceuticals,2,United Kingdom,1,300490,"Medicaments; consisting of mixed or unmixed products n.e.c. in heading no. 3004, for therapeutic or prophylactic uses, packaged for retail sale",527.1,82.8
pharmaceuticals,2,United Kingdom,2,300410,"Medicaments; containing penicillins, streptomycins or their derivatives, for therapeutic or prophylactic uses, packaged for retail sale",29.0,4.6
pharmaceuticals,2,United Kingdom,3,300215,"Blood, human or animal, antisera, other blood fractions and immunological products; immunological products, put up in measured doses or in forms or packings for retail sale",24.8,3.9
pharmaceuticals,2,United Kingdom,4,300420,"Medicaments; containing antibiotics (other than penicillins, streptomycins or their derivatives), for therapeutic or prophylactic uses, packaged for retail sale",18.8,3.0
pharmaceuticals,2,United Kingdom,5,300450,"Medicaments; containing vitamins or their derivatives, for therapeutic or prophylactic use, packaged for retail sale",13.2,2.1
pharmaceuticals,3,South Africa,1,300490,"Medicaments; consisting of mixed or unmixed products n.e.c. in heading no. 3004, for therapeutic or prophylactic uses, packaged for retail sale",517.7,82.8
pharmaceuticals,3,South Africa,2,300410,"Medicaments; containing penicillins, streptomycins or their derivatives, for therapeutic or prophylactic uses, packaged for retail sale",30.2,4.8
pharmaceuticals,3,South Africa,3,300420,"Medicaments; containing antibiotics (other than penicillins, streptomycins or their derivatives), for therapeutic or prophylactic uses, packaged for retail sale",28.1,4.5
pharmaceuticals,3,South Africa,4,300241,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; for human medicine",17.3,2.8
pharmaceuticals,3,South Africa,5,300432,"Medicaments; containing corticosteroid hormones, their derivatives or structural analogues (but not containing antibiotics), for therapeutic or prophylactic uses, packaged for retail sale",8.5,1.4
textiles,1,USA,1,630260,"Kitchen and toilet linen; of terry towelling or similar terry fabrics, of cotton",702.5,7.6
textiles,1,USA,2,630419,Bedspreads; not knitted or crocheted,519.9,5.6
textiles,1,USA,3,610910,"T-shirts, singlets and other vests; of cotton, knitted or crocheted",422.7,4.5
textiles,1,USA,4,630492,"Furnishing articles; of cotton, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)",356.2,3.8
textiles,1,USA,5,630231,"Bed linen; of cotton (not printed, knitted or crocheted)",337.4,3.6
textiles,2,Bangladesh,1,520100,Cotton; not carded or combed,556.8,21.1
textiles,2,Bangladesh,2,520523,"Cotton yarn; (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",404.8,15.3
textiles,2,Bangladesh,3,520524,"Cotton yarn; (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",345.9,13.1
textiles,2,Bangladesh,4,520522,"Cotton yarn; (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale",130.7,4.9
textiles,2,Bangladesh,5,520942,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 200g/m2, denim",70.3,2.7
textiles,3,United Arab Emirates,1,610910,"T-shirts, singlets and other vests; of cotton, knitted or crocheted",179.5,9.1
textiles,3,United Arab Emirates,2,630790,"Textiles; made up articles (including dress patterns), n.e.c. in chapter 63, n.e.c. in heading no. 6307",82.0,4.1
textiles,3,United Arab Emirates,3,610990,"T-shirts, singlets and other vests; of textile materials (other than cotton), knitted or crocheted",65.9,3.3
textiles,3,United Arab Emirates,4,620443,"Dresses; women's or girls', of synthetic fibres (not knitted or crocheted)",62.0,3.1
textiles,3,United Arab Emirates,5,610510,"Shirts; men's or boys', of cotton, knitted or crocheted",51.8,2.6
